Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
118790,Westchase S.C.,Kimco,,10,Ulta,10000,Beauty,,Soft Goods,3k-10k,FALSE,FALSE,TRUE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,11,Five Below,8164,Discount Retail,,Hard Goods,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,12,HearUSA,1450,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,13,Taste of Persia,1450,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,14,Available,1625,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,15,Westheimer Nails,975,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,16,Eastern Pearl Acupuncture,975,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,17,Alpha Dentist,1105,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,18,Acuity Eyecare Group,2370,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,19,Torchy’s Tacos,5192,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,20,Caesars Nails and Spa,1968,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,21,Jason's Deli,4700,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,22,Available (Former Restaurant),1000,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,23,Rally House,6000,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,24,Taco Cabana,3940,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
118790,Westchase S.C.,Kimco,,25,Dimassi's Mediterranean [...],6987,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,118790-westchase-sc-marketing-package.pdf,,
120000,Wellington Green,Kimco,,1,Mole Mexican Restaurant,3000,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,2,Available (Former Restaurant),2200,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,3,European Wax Center,1500,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,4,Zoom Tan,2000,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,5,Sea-View Eye Care,1500,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,6,AT+T Wireless,3000,Telecom,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,7,Chili's Grill and Bar,5682,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,8,Paradise Grills,4000,Restaurant,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
